Date,Price
18-Nov-16,754
17-Nov-16,740.7
16-Nov-16,745
15-Nov-16,712.2
14-Nov-16,707.4
31-Oct-16,704.1
30-Oct-16,702.5
29-Oct-16,714.5
28-Oct-16,693.5
27-Oct-16,688.7
26-Oct-16,678.7
25-Oct-16,659.5
24-Oct-16,654.7
23-Oct-16,659
22-Oct-16,665
21-Oct-16,636.7
20-Oct-16,632.5
19-Oct-16,631.8
18-Oct-16,638.8
17-Oct-16,639.8
16-Oct-16,644.2
15-Oct-16,640.2
14-Oct-16,643
13-Oct-16,637
12-Oct-16,637.6
11-Oct-16,641.7
10-Oct-16,618.9
9-Oct-16,616.6
8-Oct-16,620.5
7-Oct-16,620.1
6-Oct-16,613.5
5-Oct-16,614.1
4-Oct-16,611
3-Oct-16,612.6
2-Oct-16,609.1
1-Oct-16,614.1
30-Sep-16,611.1
29-Sep-16,604.6
28-Sep-16,603.8
27-Sep-16,605.5
26-Sep-16,609.1
25-Sep-16,600.4
24-Sep-16,602.5
23-Sep-16,603.3
22-Sep-16,597.1
21-Sep-16,597.4
20-Sep-16,600
19-Sep-16,609.8
18-Sep-16,613
17-Sep-16,607.7
16-Sep-16,610
15-Sep-16,611.8
14-Sep-16,613.9
13-Sep-16,614.2
12-Sep-16,611.6
11-Sep-16,612.1
10-Sep-16,628
9-Sep-16,626.3
8-Sep-16,631.7
7-Sep-16,619.8
6-Sep-16,615.2
5-Sep-16,611.5
4-Sep-16,614.5
3-Sep-16,609.9
2-Sep-16,579.8
1-Sep-16,572.7
31-Aug-16,576.2
30-Aug-16,579.5
29-Aug-16,574.8
28-Aug-16,574.2
27-Aug-16,568.5
26-Aug-16,578
25-Aug-16,577.2
24-Aug-16,580.3
23-Aug-16,583.5
22-Aug-16,588
21-Aug-16,581.4
20-Aug-16,582
19-Aug-16,573.5
18-Aug-16,572.2
17-Aug-16,571.8
16-Aug-16,574.2
15-Aug-16,564.6
14-Aug-16,569.4
13-Aug-16,583.7
12-Aug-16,585.5
11-Aug-16,591.3
10-Aug-16,590.3
9-Aug-16,604.1
8-Aug-16,604.1
7-Aug-16,604.1
2-Aug-16,604
1-Aug-16,608
31-Jul-16,623.7
30-Jul-16,655
29-Jul-16,658.3
27-Jul-16,654.5
26-Jul-16,648.5
25-Jul-16,654.2
24-Jul-16,661.8
23-Jul-16,654
22-Jul-16,648
21-Jul-16,665
20-Jul-16,665.8
19-Jul-16,675
18-Jul-16,674.3
17-Jul-16,683.2
16-Jul-16,665.3
15-Jul-16,665.5
14-Jul-16,659.8
13-Jul-16,653.7
12-Jul-16,667.2
11-Jul-16,648
10-Jul-16,649.7
9-Jul-16,648.1
8-Jul-16,664.8
7-Jul-16,640.5
6-Jul-16,677
5-Jul-16,667.8
4-Jul-16,681.3
3-Jul-16,659.3
2-Jul-16,705
1-Jul-16,674.8
30-Jun-16,674.7
29-Jun-16,639.7
28-Jun-16,646.3
27-Jun-16,662.2
26-Jun-16,627.4
25-Jun-16,664.9
24-Jun-16,666
23-Jun-16,625.8
22-Jun-16,606
21-Jun-16,668.9
20-Jun-16,743.9
19-Jun-16,767.3
18-Jun-16,757.6
17-Jun-16,748.7
16-Jun-16,769.5
15-Jun-16,696.9
14-Jun-16,684.5
13-Jun-16,705.9
12-Jun-16,671
11-Jun-16,614.5
10-Jun-16,580.1
9-Jun-16,575.5
8-Jun-16,583
7-Jun-16,576.9
6-Jun-16,585.2
5-Jun-16,574
4-Jun-16,572.7
3-Jun-16,570.9
2-Jun-16,538.8
1-Jun-16,536.8
31-May-16,530.7
30-May-16,532.9
29-May-16,531
28-May-16,527
27-May-16,472
26-May-16,454
25-May-16,449.1
24-May-16,445
23-May-16,443.7
22-May-16,437.5
21-May-16,440.8
20-May-16,441.6
19-May-16,435
18-May-16,453.5
17-May-16,453.2
16-May-16,453
15-May-16,457.9
14-May-16,455.8
13-May-16,455.8
12-May-16,455
11-May-16,452.3
10-May-16,450.7
9-May-16,461.6
8-May-16,459.9
7-May-16,460.2
6-May-16,461.2
5-May-16,448.4
4-May-16,447.4
3-May-16,450.4
2-May-16,443.7
1-May-16,451.1
30-Apr-16,446.6
29-Apr-16,455.3
28-Apr-16,450.5
27-Apr-16,445.1
26-Apr-16,468.1
25-Apr-16,461.8
24-Apr-16,463
23-Apr-16,453.7
22-Apr-16,447.8
21-Apr-16,452
20-Apr-16,444
19-Apr-16,437.8
18-Apr-16,430
17-Apr-16,428.5
16-Apr-16,432
15-Apr-16,431.5
14-Apr-16,426
13-Apr-16,424.8
12-Apr-16,426.6
11-Apr-16,423.7
10-Apr-16,421.3
9-Apr-16,418.5
8-Apr-16,418.5
7-Apr-16,422.3
6-Apr-16,422.6
5-Apr-16,423.8
4-Apr-16,420.5
3-Apr-16,420.6
2-Apr-16,420.3
1-Apr-16,417.6
31-Mar-16,416
30-Mar-16,413.2
29-Mar-16,415.8
28-Mar-16,424.1
27-Mar-16,427.4
26-Mar-16,416.7
25-Mar-16,416
24-Mar-16,415.3
23-Mar-16,418.1
22-Mar-16,417.7
21-Mar-16,411.9
20-Mar-16,411.3
19-Mar-16,408.4
18-Mar-16,407.7
17-Mar-16,418.8
16-Mar-16,417.3
15-Mar-16,415.5
14-Mar-16,416
13-Mar-16,411.8
12-Mar-16,410
11-Mar-16,420.5
10-Mar-16,416.5
9-Mar-16,412.9
8-Mar-16,411.4
7-Mar-16,412.7
6-Mar-16,403.9
5-Mar-16,397.4
4-Mar-16,408.8
3-Mar-16,420.6
2-Mar-16,422.2
1-Mar-16,434.8
29-Feb-16,439.2
28-Feb-16,434.5
27-Feb-16,434.2
26-Feb-16,435.3
25-Feb-16,424.9
24-Feb-16,426.4
23-Feb-16,421.1
22-Feb-16,440.3
21-Feb-16,440.5
20-Feb-16,438.7
19-Feb-16,420
18-Feb-16,421.5
17-Feb-16,414.9
16-Feb-16,407.3
15-Feb-16,399.9
14-Feb-16,408.3
13-Feb-16,393
12-Feb-16,383
11-Feb-16,378
10-Feb-16,380.9
9-Feb-16,374
8-Feb-16,370.5
7-Feb-16,372
6-Feb-16,373.8
5-Feb-16,386.5
4-Feb-16,389.8
3-Feb-16,369
2-Feb-16,372.9
1-Feb-16,371.4
31-Jan-16,365.5
30-Jan-16,377
29-Jan-16,377.6
28-Jan-16,378.4
27-Jan-16,395
26-Jan-16,391.3
25-Jan-16,391
24-Jan-16,402.8
23-Jan-16,385.6
22-Jan-16,381
21-Jan-16,411
20-Jan-16,419.4
19-Jan-16,379
18-Jan-16,387
17-Jan-16,382.1
16-Jan-16,388.4
15-Jan-16,358.9
14-Jan-16,429.3
13-Jan-16,431.1
12-Jan-16,432
11-Jan-16,449.3
10-Jan-16,449.4
9-Jan-16,449.2
8-Jan-16,454
7-Jan-16,459
6-Jan-16,428
5-Jan-16,431.8
4-Jan-16,432.9
3-Jan-16,428.7
2-Jan-16,432.7
1-Jan-16,434
31-Dec-15,429
30-Dec-15,424.7
29-Dec-15,431.9
28-Dec-15,420.2
27-Dec-15,422.4
26-Dec-15,416.5
25-Dec-15,455.5
24-Dec-15,456.1
23-Dec-15,442.6
22-Dec-15,435.6
21-Dec-15,437.9
20-Dec-15,442.6
19-Dec-15,462.5
18-Dec-15,463.5
17-Dec-15,455.8
16-Dec-15,455
15-Dec-15,466.5
14-Dec-15,442.6
13-Dec-15,433
12-Dec-15,435.7
11-Dec-15,456.3
10-Dec-15,414.9
9-Dec-15,418.7
8-Dec-15,420.8
7-Dec-15,396.7
6-Dec-15,390.6
5-Dec-15,390
4-Dec-15,363.2
3-Dec-15,360.7
2-Dec-15,359.1
1-Dec-15,362.7
30-Nov-15,376.9
29-Nov-15,373.3
28-Nov-15,358.7
27-Nov-15,358.9
26-Nov-15,354
25-Nov-15,329.9
24-Nov-15,320.1
23-Nov-15,323.6
22-Nov-15,324.7
21-Nov-15,327.5
20-Nov-15,322.2
19-Nov-15,326.5
18-Nov-15,336
17-Nov-15,336.3
16-Nov-15,332.1
15-Nov-15,321.1
14-Nov-15,333.4
13-Nov-15,338.5
12-Nov-15,336.6
11-Nov-15,314
10-Nov-15,340.2
9-Nov-15,381
8-Nov-15,374
7-Nov-15,384.6
6-Nov-15,375.6
5-Nov-15,388
4-Nov-15,409.2
3-Nov-15,405.3
2-Nov-15,365
1-Nov-15,330.7
31-Oct-15,316
30-Oct-15,328.2
29-Oct-15,314.9
28-Oct-15,304.5
27-Oct-15,295.2
26-Oct-15,287.2
25-Oct-15,284.8
24-Oct-15,284.2
23-Oct-15,279.2
22-Oct-15,275.8
21-Oct-15,267.8
20-Oct-15,271
19-Oct-15,265
18-Oct-15,265
17-Oct-15,272.9
16-Oct-15,263.5
15-Oct-15,255.2
14-Oct-15,253.5
13-Oct-15,251.3
12-Oct-15,246.1
11-Oct-15,247.9
10-Oct-15,246
9-Oct-15,244.8
8-Oct-15,243
7-Oct-15,244.2
6-Oct-15,247.4
5-Oct-15,242
4-Oct-15,239.5
3-Oct-15,239.8
2-Oct-15,237.9
1-Oct-15,238.5
30-Sep-15,236.5
29-Sep-15,236.8
28-Sep-15,240.4
27-Sep-15,233.4
26-Sep-15,234.6
25-Sep-15,235.3
24-Sep-15,234.6
23-Sep-15,230.5
22-Sep-15,231.3
21-Sep-15,227.2
20-Sep-15,232.1
19-Sep-15,232.1
18-Sep-15,233.8
17-Sep-15,233.6
16-Sep-15,229
15-Sep-15,230.9
14-Sep-15,230.9
13-Sep-15,231
12-Sep-15,235.8
11-Sep-15,240.6
10-Sep-15,239.5
9-Sep-15,238.9
8-Sep-15,244.2
7-Sep-15,240.9
6-Sep-15,241
5-Sep-15,235.8
4-Sep-15,230.9
3-Sep-15,227.3
2-Sep-15,229.7
1-Sep-15,228.2
31-Aug-15,231.4
30-Aug-15,230
29-Aug-15,230.8
28-Aug-15,231.8
27-Aug-15,225.8
26-Aug-15,226.2
25-Aug-15,222.7
24-Aug-15,210.5
23-Aug-15,228.5
22-Aug-15,230.3
21-Aug-15,232.2
20-Aug-15,235.5
19-Aug-15,226.2
18-Aug-15,183
17-Aug-15,258.5
16-Aug-15,259.9
15-Aug-15,262.1
14-Aug-15,266.1
13-Aug-15,264.5
12-Aug-15,267.1
11-Aug-15,272
10-Aug-15,265.1
